date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:10:56	34522/34522	---M--	200	added ('OK')	image/png	etag:%2286da-65c8fec9-700df67d6e4db70e;;;%22	https://ethemestudio.com/demo/evani/images/header/shop/shape-1.png	E:/send/ebaysdk-python-master/Ebayapi2/ethemestudio.com/demo/evani/images/header/shop/shape-1.png	(from https://ethemestudio.com/demo/evani/index.html)
05:10:56	54280/54280	---M-Z	200	added ('OK')	text/html	etag:%22d408-65c8fe87-e2679185ed6d5a23;gz%22	https://ethemestudio.com/demo/evani/collections.html	E:/send/ebaysdk-python-master/Ebayapi2/ethemestudio.com/demo/evani/collections.html	(from https://ethemestudio.com/demo/evani/index.html)
05:10:57	98171/98171	---M--	200	added ('OK')	image/png	etag:%2217f7b-65c8feca-7aaf2e0912eda6aa;;;%22	https://ethemestudio.com/demo/evani/images/header/collection/shape-1.png	E:/send/ebaysdk-python-master/Ebayapi2/ethemestudio.com/demo/evani/images/header/collection/shape-1.png	(from https://ethemestudio.com/demo/evani/index.html)
05:10:57	52021/52021	---M--	200	added ('OK')	image/png	etag:%22cb35-65c8feca-71b62719f3d0b2d8;;;%22	https://ethemestudio.com/demo/evani/images/header/collection/shape-2.png	E:/send/ebaysdk-python-master/Ebayapi2/ethemestudio.com/demo/evani/images/header/collection/shape-2.png	(from https://ethemestudio.com/demo/evani/index.html)
05:10:57	46538/46538	---M--	200	added ('OK')	image/png	etag:%22b5ca-65c8feca-81344019073caac0;;;%22	https://ethemestudio.com/demo/evani/images/header/collection/shape-3.png	E:/send/ebaysdk-python-master/Ebayapi2/ethemestudio.com/demo/evani/images/header/collection/shape-3.png	(from https://ethemestudio.com/demo/evani/index.html)
05:10:57	56501/56501	---M--	200	added ('OK')	image/png	etag:%22dcb5-65c8feca-7fdcfc49a719f245;;;%22	https://ethemestudio.com/demo/evani/images/header/collection/shape-4.png	E:/send/ebaysdk-python-master/Ebayapi2/ethemestudio.com/demo/evani/images/header/collection/shape-4.png	(from https://ethemestudio.com/demo/evani/index.html)
05:10:57	69569/69569	---M-Z	200	added ('OK')	text/html	etag:%2210fc1-65c8fe89-8fcd9c85d7f41ed7;gz%22	https://ethemestudio.com/demo/evani/shop.html	E:/send/ebaysdk-python-master/Ebayapi2/ethemestudio.com/demo/evani/shop.html	(from https://ethemestudio.com/demo/evani/index.html)
05:10:58	83205/83205	---M-Z	200	added ('OK')	text/html	etag:%2214505-65c8fe88-367bee7614511080;gz%22	https://ethemestudio.com/demo/evani/all-collections.html	E:/send/ebaysdk-python-master/Ebayapi2/ethemestudio.com/demo/evani/all-collections.html	(from https://ethemestudio.com/demo/evani/index.html)
05:10:58	65212/65212	---M-Z	200	added ('OK')	text/html	etag:%22febc-65c8fe8a-af5177664434722b;gz%22	https://ethemestudio.com/demo/evani/single-product.html	E:/send/ebaysdk-python-master/Ebayapi2/ethemestudio.com/demo/evani/single-product.html	(from https://ethemestudio.com/demo/evani/index.html)
05:10:58	43104/43104	---M-Z	200	added ('OK')	text/html	etag:%22a860-65c8fe87-f5a4aeb71aaef30c;gz%22	https://ethemestudio.com/demo/evani/checkout.html	E:/send/ebaysdk-python-master/Ebayapi2/ethemestudio.com/demo/evani/checkout.html	(from https://ethemestudio.com/demo/evani/index.html)
05:10:59	38595/38595	---M-Z	200	added ('OK')	text/html	etag:%2296c3-65c8fe8a-6558962e6422e924;gz%22	https://ethemestudio.com/demo/evani/wishlist.html	E:/send/ebaysdk-python-master/Ebayapi2/ethemestudio.com/demo/evani/wishlist.html	(from https://ethemestudio.com/demo/evani/index.html)
05:10:59	46888/46888	---M-Z	200	added ('OK')	text/html	etag:%22b728-65c8fe88-dc74c0be3b6d6704;gz%22	https://ethemestudio.com/demo/evani/recent-blog.html	E:/send/ebaysdk-python-master/Ebayapi2/ethemestudio.com/demo/evani/recent-blog.html	(from https://ethemestudio.com/demo/evani/index.html)
05:10:59	54518/54518	---M-Z	200	added ('OK')	text/html	etag:%22d4f6-65c8fe89-5274983529330e9c;gz%22	https://ethemestudio.com/demo/evani/recent-blog-two.html	E:/send/ebaysdk-python-master/Ebayapi2/ethemestudio.com/demo/evani/recent-blog-two.html	(from https://ethemestudio.com/demo/evani/index.html)
